name,place,date,price,url,scraped_at
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver,2026-01-04T15:41:54.327036
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/ad-vitam,2026-01-04T15:41:54.376365
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6,2026-01-04T15:41:54.427782
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4,2026-01-04T15:41:54.475387
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/klay-bbj,2026-01-04T15:41:54.523844
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,2026-01-04T15:41:54.572352
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:41:54.624881
FILM SAHBEK RAJEL 2 - HAMMAM LIF - 03 ET 04 JANIVER,complexe culturel Ali ben ayed hammem lif,03 Janvier 2026 à 15:00,9 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-hammam-lif-03-et-04-janiver,2026-01-04T15:41:54.674999
AD VITAM,Théâtre Le 4ème Art,04 Janvier 2026 à 18:00,15 TND,https://teskerti.tn/evenement/ad-vitam,2026-01-04T15:41:54.721578
FILM SAHBEK RAJEL 2 - MENZAH 6,Centre Culturel Menzah 6,04 Janvier 2026 à 19:30,13 TND,https://teskerti.tn/evenement/film-sahbek-rajel-2-menzah-6,2026-01-04T15:41:54.765660
ISSAM AYARI IS DONALD,Centre Culturel Menzah 6,09 Janvier 2026 à 20:00,30 TND,https://teskerti.tn/evenement/issam-ayari-is-donald-6941c8dfd67c4,2026-01-04T15:41:54.810410
KLAY BBJ,Salle Colisée,10 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/klay-bbj,2026-01-04T15:41:54.855363
TOUSKIÉ,Salle Africa,17 Janvier 2026 à 19:00,30 TND,https://teskerti.tn/evenement/touskie,2026-01-04T15:41:54.900998
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,2026-01-04T15:41:54.943696
